student_id,roll_number,registration_number,university_id,college_id,department_id,program_name,specialization,gender,date_of_birth,age,category,minority_status,domicile_state,nationality,family_income_range,parent_education_level,parent_occupation,first_generation_learner,scholarship_status,financial_aid_type,10th_percentage,10th_board,12th_percentage,12th_board,12th_stream,entrance_exam_score,entrance_exam_rank,admission_type,gap_years,academic_year,semester,course_code,course_name,course_type,credit_score,course_difficulty_index,faculty_id,total_lectures,lectures_attended,attendance_percentage,attendance_status,lms_login_frequency,avg_session_duration_minutes,assignment_submission_rate,late_submission_count,forum_participation_count,quiz_attempt_rate,assignment_marks_avg,quiz_marks_avg,midterm_marks,internal_assessment_total,internal_rank,improvement_trend,end_sem_marks,practical_marks,theory_marks,total_marks,percentage,grade,grade_point,sgpa,cgpa,pass_fail_status,backlog_count,study_hours_per_day,sleep_hours_avg,mobile_usage_hours,hostel_resident,commute_time_minutes,part_time_job,extracurricular_participation_level,stress_level,motivation_level,time_management_score,learning_style,career_clarity_score,self_efficacy_score,faculty_experience_years,faculty_rating_avg,student_teacher_ratio,class_size,teaching_method,course_feedback_score,library_usage_frequency,lab_access_hours,mentorship_sessions_attended,remedial_classes_attended,placement_training_participation,student_id_2,roll_number_2,department,program,academic_year_2,course_code_2,attendance_percentage_2,internal_marks,external_marks,sgpa_2,gender_2,age_2,study_hours
11,ROLL0011,REG20260011,UNI001,COL001,ECE,B.Tech,Cloud,Female,2002-10-30,24,ST,No,Haryana,Indian,0-2L,12th,Farmer,Yes,Yes,Private,84.38,ICSE,85.83,CBSE,Arts,78,1146,Entrance,1,2025-26,6,CS479,DBMS,Core,5,2.57,FAC002,47,50,65.62,Regular,26,49,72.18,5,16,97.7,65.26,72.93,21,34,96,Upward,60,32,44,94,94.0,B,9.7,7.61,6.81,Fail,0,6.0,7.1,4.1,No,35,No,Medium,High,Medium,6,Auditory,8,9,20,4.25,27,30,Traditional,3.87,7,11,3,1,No,11,ROLL0011,IT,BCA,2025-26,CS417,80.37,34,60,7.61,Male,24,3.9
12,ROLL0012,REG20260012,UNI001,COL001,BCA,B.Tech,AI,Female,2001-10-30,25,OBC,Yes,Haryana,Indian,2-5L,Graduate,Self-employed,No,Yes,Private,75.23,CBSE,92.25,State Board,Arts,187,610,Entrance,1,2025-26,6,CS191,Python,Elective,4,1.2,FAC002,52,36,74.52,Shortage,28,107,70.57,0,1,89.27,54.99,51.89,19,21,78,Downward,51,36,52,72,72.0,C,6.42,7.49,8.47,Fail,0,7.2,5.1,4.6,No,50,No,Low,Low,Medium,4,Auditory,3,4,20,3.21,45,111,Online,3.41,3,20,3,1,Yes,12,ROLL0012,IT,BCA,2025-26,CS483,90.24,21,51,7.49,Male,25,6.9
13,ROLL0013,REG20260013,UNI001,COL001,CSE,MCA,Cyber Security,Female,2002-02-15,24,General,No,Bihar,Indian,5-10L,Graduate,Business,No,No,Government,96.68,ICSE,72.76,State Board,Arts,152,447,Entrance,1,2025-26,6,CS312,ML,Core,2,1.61,FAC001,43,36,80.16,Regular,7,83,94.22,2,9,80.98,64.61,58.88,17,38,59,Upward,47,35,48,85,85.0,D,8.7,9.01,8.09,Fail,1,7.0,5.2,5.0,No,25,Yes,Medium,High,Low,10,Kinesthetic,7,7,11,3.96,50,50,Online,3.44,2,15,0,3,No,13,ROLL0013,ECE,MCA,2025-26,CS309,97.67,38,47,9.01,Female,24,6.7
14,ROLL0014,REG20260014,UNI001,COL001,MCA,MCA,Software Engg,Female,2002-08-27,24,OBC,No,Delhi,Indian,5-10L,12th,Business,Yes,No,Private,63.46,CBSE,60.45,State Board,Commerce,165,2433,Management,0,2025-26,4,CS482,OS,Elective,3,3.34,FAC018,47,48,96.06,Shortage,24,90,98.14,1,6,92.05,75.5,56.61,30,20,24,Downward,59,28,50,79,79.0,B,9.44,8.17,6.76,Pass,0,7.9,5.3,2.3,Yes,8,No,Low,Low,High,8,Kinesthetic,7,6,10,4.98,35,43,Traditional,3.39,7,5,10,3,No,14,ROLL0014,MCA,BCA,2025-26,CS396,75.83,20,59,8.17,Female,24,6.6
15,ROLL0015,REG20260015,UNI001,COL001,MCA,BCA,Cyber Security,Female,2002-12-25,24,OBC,No,Haryana,Indian,5-10L,Postgraduate,Self-employed,No,No,Government,72.31,ICSE,74.69,ICSE,Arts,114,490,Entrance,2,2025-26,2,CS219,ML,Elective,5,2.81,FAC007,49,59,63.83,Regular,16,99,92.94,4,18,82.67,59.53,78.28,29,40,28,Downward,46,40,51,86,86.0,C,7.57,8.19,9.78,Pass,1,4.9,6.1,2.9,Yes,53,Yes,High,Medium,Medium,3,Visual,6,9,18,3.81,35,115,Traditional,3.84,9,18,7,5,Yes,15,ROLL0015,BCA,B.Tech,2025-26,CS226,63.22,40,46,8.19,Male,24,6.4
16,ROLL0016,REG20260016,UNI001,COL001,ECE,B.Tech,Cyber Security,Male,2003-06-16,23,OBC,Yes,Delhi,Indian,5-10L,10th,Farmer,No,Yes,Private,86.68,CBSE,83.0,ICSE,Science,73,3032,Entrance,0,2025-26,3,CS220,OS,Elective,2,2.58,FAC016,43,37,80.89,Shortage,5,120,81.74,2,5,79.08,86.29,75.56,16,20,20,Upward,43,25,56,63,63.0,B,7.19,7.65,7.41,Pass,2,3.7,5.7,5.9,Yes,56,Yes,High,Medium,Low,2,Kinesthetic,5,2,14,4.24,35,119,Hybrid,3.09,8,6,1,0,Yes,16,ROLL0016,ECE,B.Tech,2025-26,CS329,86.42,20,43,7.65,Male,23,4.6
17,ROLL0017,REG20260017,UNI001,COL001,IT,MCA,Software Engg,Male,2003-11-16,23,OBC,Yes,Delhi,Indian,5-10L,12th,Business,No,Yes,None,86.29,CBSE,71.1,CBSE,Arts,74,1775,Entrance,0,2025-26,6,CS487,OS,Core,2,4.42,FAC007,50,43,98.72,Regular,5,56,74.64,0,9,77.22,92.65,65.52,28,30,7,Downward,58,40,44,88,88.0,A,9.89,7.72,6.94,Fail,3,2.9,7.7,5.3,Yes,10,No,Low,High,High,7,Visual,10,10,8,4.27,46,109,Hybrid,4.43,2,12,6,1,Yes,17,ROLL0017,IT,BCA,2025-26,CS315,76.66,30,58,7.72,Male,23,4.1
18,ROLL0018,REG20260018,UNI001,COL001,ECE,MCA,Cloud,Male,2005-02-01,21,OBC,Yes,Bihar,Indian,2-5L,Postgraduate,Farmer,Yes,Yes,Private,78.8,CBSE,92.09,CBSE,Science,142,4355,Entrance,2,2025-26,2,CS327,OS,Elective,3,1.41,FAC016,43,31,64.38,Regular,18,83,86.85,4,7,82.87,86.86,84.77,22,38,54,Stable,52,22,59,90,90.0,D,8.26,8.12,7.45,Pass,3,2.5,6.9,2.3,No,32,No,Medium,Low,Medium,5,Auditory,2,10,10,3.09,28,53,Traditional,4.59,2,13,6,2,Yes,18,ROLL0018,MCA,MCA,2025-26,CS385,69.46,38,52,8.12,Male,21,2.7
19,ROLL0019,REG20260019,UNI001,COL001,ECE,B.Tech,DS,Female,2005-01-10,21,General,Yes,UP,Indian,2-5L,Postgraduate,Farmer,No,No,Government,86.93,CBSE,93.61,State Board,Science,190,3273,Merit,0,2025-26,1,CS267,DBMS,Elective,3,4.6,FAC019,47,37,72.44,Shortage,12,79,92.27,2,13,87.15,75.67,60.65,30,32,37,Downward,42,21,56,74,74.0,C,9.08,6.28,8.08,Pass,3,3.1,6.7,3.7,Yes,55,No,Low,Low,High,2,Auditory,1,6,14,3.55,54,90,Hybrid,3.08,2,20,1,5,No,19,ROLL0019,CSE,B.Tech,2025-26,CS354,86.05,32,42,6.28,Male,21,5.2
20,ROLL0020,REG20260020,UNI001,COL001,ECE,B.Tech,AI,Male,2000-10-02,26,General,No,UP,Indian,5-10L,12th,Service,Yes,Yes,None,94.98,ICSE,96.95,CBSE,Commerce,59,1496,Management,2,2025-26,6,CS394,ML,Elective,2,2.05,FAC007,47,58,70.27,Shortage,15,101,84.25,1,12,63.86,59.38,77.36,21,21,41,Stable,54,23,59,75,75.0,D,7.53,9.64,7.79,Pass,1,5.5,7.1,4.0,No,54,Yes,High,High,High,10,Kinesthetic,6,7,7,4.2,54,47,Traditional,4.52,3,14,9,4,Yes,20,ROLL0020,BCA,MCA,2025-26,CS489,75.07,21,54,9.64,Male,26,3.2
21,ROLL0021,REG20260021,UNI001,COL001,ECE,BCA,DS,Male,2002-06-26,24,OBC,Yes,Punjab,Indian,0-2L,12th,Self-employed,No,Yes,Government,86.14,ICSE,82.16,State Board,Arts,167,358,Entrance,0,2025-26,3,CS183,Data Structures,Core,2,4.04,FAC013,49,40,88.67,Shortage,6,27,98.08,1,3,65.3,73.06,65.59,19,26,17,Stable,45,20,49,71,71.0,D,9.52,8.21,6.23,Fail,1,2.7,7.6,5.9,No,39,Yes,High,Medium,High,3,Visual,2,7,25,4.93,24,31,Online,4.91,2,14,7,1,No,21,ROLL0021,BCA,BCA,2025-26,CS235,63.08,26,45,8.21,Male,24,6.3
22,ROLL0022,REG20260022,UNI001,COL001,BCA,BCA,Cloud,Male,2005-02-04,21,ST,No,Delhi,Indian,0-2L,10th,Self-employed,Yes,No,Private,74.01,State Board,67.88,State Board,Science,95,2663,Entrance,1,2025-26,1,CS427,ML,Elective,5,2.9,FAC003,44,44,80.81,Regular,23,119,85.13,3,13,100.0,57.23,94.87,30,40,27,Stable,44,31,40,84,84.0,C,8.38,9.33,7.03,Fail,2,7.8,7.4,2.1,Yes,21,Yes,Medium,Low,Medium,6,Kinesthetic,6,6,22,4.29,33,77,Hybrid,4.42,8,13,7,0,Yes,22,ROLL0022,MCA,BCA,2025-26,CS304,93.64,40,44,9.33,Female,21,5.1
23,ROLL0023,REG20260023,UNI001,COL001,CSE,MCA,Cloud,Male,2004-02-27,22,OBC,No,UP,Indian,10L+,Postgraduate,Self-employed,Yes,No,Private,75.16,ICSE,77.79,CBSE,Arts,140,1464,Entrance,0,2025-26,3,CS428,DBMS,Core,5,1.63,FAC008,44,39,80.6,Regular,17,115,82.69,2,20,91.84,76.43,88.42,22,39,71,Stable,54,27,44,93,93.0,A,6.82,7.06,7.67,Pass,1,2.9,5.5,3.0,No,43,Yes,Low,High,Low,8,Auditory,1,10,9,4.11,40,59,Traditional,3.84,3,18,3,0,Yes,23,ROLL0023,BCA,B.Tech,2025-26,CS210,66.79,39,54,7.06,Female,22,7.0
24,ROLL0024,REG20260024,UNI001,COL001,MCA,MCA,Cyber Security,Male,2000-04-05,26,OBC,No,Delhi,Indian,5-10L,Postgraduate,Service,Yes,Yes,None,66.5,CBSE,71.9,State Board,Commerce,87,1290,Merit,0,2025-26,2,CS129,ML,Core,2,1.79,FAC011,58,37,86.12,Shortage,12,90,82.56,0,15,82.7,56.51,89.65,24,37,8,Stable,44,23,54,81,81.0,C,7.41,8.18,9.63,Fail,2,2.4,6.9,3.7,Yes,25,No,Low,Low,Medium,9,Kinesthetic,7,5,8,4.68,51,40,Online,3.53,7,14,4,5,Yes,24,ROLL0024,CSE,BCA,2025-26,CS151,82.48,37,44,8.18,Male,26,3.5
25,ROLL0025,REG20260025,UNI001,COL001,BCA,MCA,AI,Female,2003-11-23,23,SC,No,Delhi,Indian,10L+,Postgraduate,Self-employed,Yes,Yes,Government,67.4,ICSE,75.49,CBSE,Arts,89,4865,Entrance,1,2025-26,3,CS266,OS,Core,2,3.09,FAC010,42,33,94.25,Regular,10,38,75.91,1,11,77.61,70.05,88.0,20,40,39,Downward,44,33,50,84,84.0,D,8.2,6.8,7.94,Fail,1,3.0,7.6,3.8,Yes,54,No,Low,High,High,2,Visual,1,7,23,4.0,27,34,Traditional,4.23,1,9,1,3,Yes,25,ROLL0025,IT,BCA,2025-26,CS259,71.91,40,44,6.8,Male,23,6.7
26,ROLL0026,REG20260026,UNI001,COL001,MCA,B.Tech,Software Engg,Male,2005-01-26,21,ST,No,Bihar,Indian,0-2L,12th,Farmer,Yes,Yes,Government,63.02,CBSE,86.07,State Board,Science,109,1130,Merit,0,2025-26,5,CS139,ML,Core,2,3.42,FAC009,51,46,92.65,Regular,17,47,98.62,1,2,68.02,80.0,93.0,19,32,86,Upward,54,34,51,86,86.0,C,9.93,7.53,9.25,Fail,0,4.5,8.0,4.4,Yes,36,No,Low,High,Low,4,Auditory,9,1,11,4.15,59,114,Traditional,4.23,8,7,8,3,Yes,26,ROLL0026,ECE,MCA,2025-26,CS457,79.85,32,54,7.53,Male,21,7.7
27,ROLL0027,REG20260027,UNI001,COL001,BCA,BCA,Software Engg,Male,2000-07-23,26,ST,No,Haryana,Indian,2-5L,Graduate,Business,Yes,Yes,Private,97.5,State Board,60.85,ICSE,Science,164,185,Entrance,1,2025-26,2,CS494,Data Structures,Elective,4,2.13,FAC008,60,33,60.68,Shortage,8,74,77.17,0,11,69.77,79.24,87.49,30,39,14,Stable,56,21,47,95,95.0,D,7.04,7.56,7.03,Fail,0,3.8,5.9,5.2,No,57,Yes,Medium,Low,High,1,Auditory,8,10,5,4.8,32,73,Online,3.16,10,9,0,1,Yes,27,ROLL0027,BCA,B.Tech,2025-26,CS260,72.83,39,56,7.56,Male,26,5.8
28,ROLL0028,REG20260028,UNI001,COL001,ECE,B.Tech,AI,Female,2005-01-04,21,SC,No,Delhi,Indian,5-10L,10th,Self-employed,No,Yes,None,90.61,CBSE,97.82,State Board,Commerce,134,3888,Entrance,1,2025-26,6,CS447,OS,Core,5,4.52,FAC020,47,54,91.4,Regular,11,66,90.86,0,20,60.68,93.66,71.39,26,37,46,Downward,43,22,44,80,80.0,C,6.28,9.37,8.49,Pass,3,4.4,7.8,3.6,Yes,10,Yes,Low,High,Medium,9,Kinesthetic,2,3,21,4.79,30,92,Traditional,3.85,9,14,0,4,No,28,ROLL0028,MCA,BCA,2025-26,CS160,95.5,37,43,9.37,Female,21,3.3
29,ROLL0029,REG20260029,UNI001,COL001,MCA,B.Tech,Software Engg,Female,2001-09-08,25,OBC,No,UP,Indian,5-10L,10th,Self-employed,Yes,No,Government,66.02,ICSE,70.93,ICSE,Science,120,3375,Entrance,0,2025-26,4,CS201,DBMS,Elective,2,3.82,FAC012,40,32,95.95,Regular,28,37,99.49,5,14,83.06,80.56,67.73,23,21,3,Stable,59,34,50,80,80.0,A,9.98,9.62,8.63,Pass,0,5.1,6.1,5.9,Yes,28,Yes,Low,High,Medium,4,Kinesthetic,5,1,5,3.25,48,66,Online,4.79,8,7,4,1,No,29,ROLL0029,IT,BCA,2025-26,CS311,90.13,21,59,9.62,Female,25,4.0
30,ROLL0030,REG20260030,UNI001,COL001,MCA,MCA,AI,Male,2002-12-25,24,OBC,No,Punjab,Indian,0-2L,Postgraduate,Self-employed,Yes,No,Government,71.35,State Board,77.61,CBSE,Commerce,188,2024,Merit,0,2025-26,3,CS484,Python,Core,2,1.42,FAC008,50,43,64.15,Regular,12,65,88.73,0,19,75.6,93.64,87.01,23,33,98,Upward,43,31,51,76,76.0,D,7.79,6.32,6.32,Fail,3,6.3,7.7,6.0,No,59,No,High,Low,High,4,Visual,3,7,6,3.51,37,30,Online,4.3,10,14,10,2,Yes,30,ROLL0030,MCA,MCA,2025-26,CS356,82.3,33,43,6.32,Male,24,6.5
31,ROLL0031,REG20260031,UNI001,COL001,IT,MCA,Cyber Security,Female,2003-10-25,23,OBC,No,Delhi,Indian,0-2L,10th,Self-employed,Yes,Yes,Government,93.37,ICSE,60.2,State Board,Science,54,3410,Entrance,1,2025-26,5,CS114,DBMS,Core,2,3.25,FAC009,44,40,68.72,Shortage,18,28,72.72,1,0,92.35,93.69,57.28,26,32,94,Stable,49,24,50,81,81.0,D,9.05,8.35,8.75,Pass,2,6.1,7.8,3.3,Yes,56,Yes,High,Medium,Low,9,Kinesthetic,5,2,10,3.19,46,64,Traditional,4.58,1,10,6,4,No,31,ROLL0031,CSE,MCA,2025-26,CS199,88.65,32,49,8.35,Male,23,4.8
32,ROLL0032,REG20260032,UNI001,COL001,BCA,B.Tech,DS,Female,2002-10-17,24,SC,No,Haryana,Indian,5-10L,Graduate,Business,Yes,Yes,None,66.66,State Board,87.85,CBSE,Arts,141,1126,Entrance,1,2025-26,3,CS198,Python,Core,4,1.72,FAC003,54,35,72.46,Shortage,20,117,70.38,2,9,81.85,91.74,74.93,24,26,91,Downward,44,30,55,70,70.0,B,8.86,7.36,7.69,Fail,0,7.9,5.4,4.4,No,32,No,High,Medium,Medium,3,Visual,4,6,19,4.82,51,46,Online,3.17,3,5,6,1,Yes,32,ROLL0032,BCA,B.Tech,2025-26,CS269,88.63,26,44,7.36,Female,24,6.9
33,ROLL0033,REG20260033,UNI001,COL001,BCA,MCA,Cloud,Female,2005-06-12,21,SC,Yes,Bihar,Indian,0-2L,10th,Self-employed,No,Yes,None,75.54,CBSE,67.83,ICSE,Commerce,92,424,Management,2,2025-26,3,CS397,Data Structures,Core,5,3.89,FAC001,54,37,78.53,Regular,21,100,78.89,1,16,90.54,66.36,79.46,17,29,83,Downward,48,20,47,77,77.0,D,9.41,6.65,7.76,Fail,2,2.4,7.0,4.7,Yes,26,Yes,Medium,Medium,High,3,Auditory,7,5,25,4.08,60,60,Hybrid,3.13,2,10,1,3,Yes,33,ROLL0033,BCA,B.Tech,2025-26,CS112,79.16,29,48,6.65,Female,21,7.2
34,ROLL0034,REG20260034,UNI001,COL001,BCA,B.Tech,DS,Male,2000-12-29,26,ST,No,Punjab,Indian,10L+,Postgraduate,Business,No,No,Government,76.86,ICSE,69.11,State Board,Science,119,3454,Management,1,2025-26,5,CS112,Python,Core,4,4.86,FAC012,56,49,69.75,Shortage,8,80,78.79,0,7,76.21,91.16,60.55,15,32,37,Stable,55,26,58,87,87.0,B,7.57,9.01,8.29,Pass,0,4.4,7.5,3.6,No,15,Yes,High,Low,High,7,Auditory,3,2,21,3.35,59,65,Traditional,4.85,9,20,0,1,No,34,ROLL0034,IT,BCA,2025-26,CS403,61.75,32,55,9.01,Male,26,4.9
35,ROLL0035,REG20260035,UNI001,COL001,BCA,BCA,AI,Male,2002-07-24,24,SC,Yes,Haryana,Indian,5-10L,Postgraduate,Business,Yes,No,None,93.59,State Board,77.14,State Board,Commerce,65,4117,Entrance,2,2025-26,1,CS371,OS,Elective,4,4.38,FAC009,58,58,95.85,Regular,13,64,72.82,1,1,69.35,84.3,73.4,16,37,22,Stable,47,30,42,84,84.0,C,7.27,7.85,9.75,Fail,1,3.0,6.2,3.6,Yes,22,Yes,Low,Medium,Low,9,Visual,5,3,10,3.59,50,106,Traditional,3.52,4,19,7,4,Yes,35,ROLL0035,MCA,MCA,2025-26,CS368,94.63,37,47,7.85,Female,24,4.0
36,ROLL0036,REG20260036,UNI001,COL001,BCA,B.Tech,Cloud,Male,2002-09-07,24,OBC,Yes,Haryana,Indian,5-10L,10th,Farmer,Yes,No,None,82.06,CBSE,73.93,ICSE,Arts,129,3590,Merit,2,2025-26,2,CS428,OS,Elective,4,2.62,FAC009,57,44,77.08,Regular,23,79,76.9,0,15,74.06,91.86,55.77,27,27,27,Stable,50,31,47,77,77.0,A,6.92,7.49,7.44,Pass,2,7.9,7.7,4.7,No,46,Yes,Low,High,Medium,10,Visual,3,8,7,4.45,33,92,Traditional,4.31,2,8,2,2,No,36,ROLL0036,MCA,BCA,2025-26,CS456,87.01,27,50,7.49,Male,24,2.5
